course_name,course_link,course_description,price_usd,start_date,mode,duration_hours,instructor
Machine Learning,https://towardsai.net/course/real-1,Real course offered by Coursera focusing on machine learning and practical applications.,0,2026-02-01,Self-paced,60,Andrew Ng
Deep Learning Specialization,https://towardsai.net/course/real-2,Real course offered by Coursera focusing on deep learning specialization and practical applications.,49,2026-03-01,Self-paced,80,Andrew Ng
AI For Everyone,https://towardsai.net/course/real-3,Real course offered by Coursera focusing on ai for everyone and practical applications.,0,2026-04-01,Self-paced,10,Andrew Ng
CS50’s Introduction to AI,https://towardsai.net/course/real-4,Real course offered by edX focusing on cs50’s introduction to ai and practical applications.,0,2026-05-01,Self-paced,70,David Malan
Practical Deep Learning for Coders,https://towardsai.net/course/real-5,Real course offered by fast.ai focusing on practical deep learning for coders and practical applications.,0,2026-06-01,Self-paced,90,Jeremy Howard
Intro to Machine Learning,https://towardsai.net/course/real-6,Real course offered by Kaggle focusing on intro to machine learning and practical applications.,0,2026-07-01,Self-paced,15,Kaggle
Intermediate Machine Learning,https://towardsai.net/course/real-7,Real course offered by Kaggle focusing on intermediate machine learning and practical applications.,0,2026-08-01,Self-paced,20,Kaggle
Deep Learning Nanodegree,https://towardsai.net/course/real-8,Real course offered by Udacity focusing on deep learning nanodegree and practical applications.,399,2026-09-01,Self-paced,120,Udacity
AI Programming with Python,https://towardsai.net/course/real-9,Real course offered by Udacity focusing on ai programming with python and practical applications.,399,2026-10-01,Self-paced,80,Udacity
Data Science Professional Certificate,https://towardsai.net/course/real-10,Real course offered by Coursera focusing on data science professional certificate and practical applications.,39,2026-11-01,Self-paced,100,IBM
TensorFlow Developer,https://towardsai.net/course/real-11,Real course offered by Coursera focusing on tensorflow developer and practical applications.,49,2026-12-01,Self-paced,60,Google
Natural Language Processing,https://towardsai.net/course/real-12,Real course offered by Coursera focusing on natural language processing and practical applications.,49,2026-01-01,Self-paced,80,DeepLearning.AI
Computer Vision Basics,https://towardsai.net/course/real-13,Real course offered by Coursera focusing on computer vision basics and practical applications.,49,2026-02-01,Self-paced,50,University at Buffalo
Reinforcement Learning,https://towardsai.net/course/real-14,Real course offered by Coursera focusing on reinforcement learning and practical applications.,49,2026-03-01,Self-paced,70,University of Alberta
Generative AI with LLMs,https://towardsai.net/course/real-15,Real course offered by Coursera focusing on generative ai with llms and practical applications.,49,2026-04-01,Self-paced,20,DeepLearning.AI
Prompt Engineering,https://towardsai.net/course/real-16,Real course offered by Coursera focusing on prompt engineering and practical applications.,0,2026-05-01,Self-paced,10,DeepLearning.AI
Python for Data Science,https://towardsai.net/course/real-17,Real course offered by Coursera focusing on python for data science and practical applications.,0,2026-06-01,Self-paced,40,IBM
Statistics for Data Science,https://towardsai.net/course/real-18,Real course offered by Coursera focusing on statistics for data science and practical applications.,49,2026-07-01,Self-paced,60,Johns Hopkins
AI Ethics,https://towardsai.net/course/real-19,Real course offered by edX focusing on ai ethics and practical applications.,0,2026-08-01,Self-paced,30,University of Helsinki
Full Stack Deep Learning,https://towardsai.net/course/real-20,Real course offered by FSDL focusing on full stack deep learning and practical applications.,0,2026-09-01,Self-paced,50,FullStackDeepLearning
Data Science MicroMasters,https://towardsai.net/course/real-21,Real course offered by edX focusing on data science micromasters and practical applications.,1000,2026-10-01,Self-paced,200,UC San Diego
AI MicroMasters,https://towardsai.net/course/real-22,Real course offered by edX focusing on ai micromasters and practical applications.,900,2026-11-01,Self-paced,180,Columbia University
Applied Data Science,https://towardsai.net/course/real-23,Real course offered by Coursera focusing on applied data science and practical applications.,49,2026-12-01,Self-paced,70,University of Michigan
Big Data Specialization,https://towardsai.net/course/real-24,Real course offered by Coursera focusing on big data specialization and practical applications.,49,2026-01-01,Self-paced,80,UC San Diego
AI in Healthcare,https://towardsai.net/course/real-25,Real course offered by Coursera focusing on ai in healthcare and practical applications.,49,2026-02-01,Self-paced,40,Stanford
Machine Learning with Python,https://towardsai.net/course/real-26,Real course offered by Coursera focusing on machine learning with python and practical applications.,49,2026-03-01,Self-paced,40,IBM
Data Analysis with Python,https://towardsai.net/course/real-27,Real course offered by Coursera focusing on data analysis with python and practical applications.,0,2026-04-01,Self-paced,40,IBM
SQL for Data Science,https://towardsai.net/course/real-28,Real course offered by Coursera focusing on sql for data science and practical applications.,49,2026-05-01,Self-paced,30,UC Davis
Cloud AI with Google,https://towardsai.net/course/real-29,Real course offered by Coursera focusing on cloud ai with google and practical applications.,49,2026-06-01,Self-paced,50,Google
Azure AI Fundamentals,https://towardsai.net/course/real-30,Real course offered by Microsoft Learn focusing on azure ai fundamentals and practical applications.,0,2026-07-01,Self-paced,20,Microsoft
AWS Machine Learning,https://towardsai.net/course/real-31,Real course offered by AWS Training focusing on aws machine learning and practical applications.,0,2026-08-01,Self-paced,40,AWS
AI Product Manager,https://towardsai.net/course/real-32,Real course offered by Coursera focusing on ai product manager and practical applications.,49,2026-09-01,Self-paced,40,Duke University
Intro to NLP,https://towardsai.net/course/real-33,Real course offered by YouTube focusing on intro to nlp and practical applications.,0,2026-10-01,Self-paced,60,Stanford
Advanced NLP,https://towardsai.net/course/real-34,Real course offered by YouTube focusing on advanced nlp and practical applications.,0,2026-11-01,Self-paced,70,Stanford
